EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeType,PayZone,TerminationType,DepartmentType,Division,DOB,State,GenderCode,LocationCode,RaceDesc,MaritalDesc,PerformanceScore,CurrentEmployeeRating,ExitYear,CleanedEmployeeStatus
3445,Reid,Park,2021-01-16,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Contract,Zone C,,Sales,Project Management - Con,1985-12-07,KY,Female,5360,Other,Married,Exceeds,4,,Active
3446,Hector,Dalton,2021-08-24,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Part-Time,Zone A,,Sales,Field Operations,1996-05-01,TX,Female,16325,White,Divorced,Exceeds,2,,Active
3447,Mariela,Schultz,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Part-Time,Zone C,Involuntary,Sales,General - Con,1964-02-17,TX,Female,43481,Asian,Widowed,Fully Meets,3,2023.0,Inactive
3448,Angela,Molina,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Full-Time,Zone A,Retirement,Sales,Engineers,1958-05-12,TX,Male,50705,Asian,Widowed,Fully Meets,3,2020.0,Inactive
3449,Gerald,Preston,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Contract,Zone B,Involuntary,Sales,General - Eng,1992-09-18,CO,Male,5168,Black,Single,Fully Meets,5,2023.0,Inactive
3450,Reilly,Moyer,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Contract,Zone C,Resignation,Sales,Field Operations,1994-08-11,CO,Male,11765,Other,Single,Exceeds,2,2022.0,Inactive
3451,Carlee,French,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Contract,Zone C,Voluntary,Sales,General - Con,1968-01-15,CO,Male,71071,Other,Divorced,Exceeds,3,2022.0,Inactive
3452,Jaydon,Blackburn,2022-11-08,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Part-Time,Zone A,,Sales,General - Con,1947-01-07,IN,Male,12122,Black,Divorced,Fully Meets,2,,Active
3453,Bridger,Carter,2022-10-13,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Contract,Zone C,,Sales,Fielders,1982-04-07,MA,Male,87065,White,Widowed,Fully Meets,4,,Active
3454,Leon,Beard,2022-09-11,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Full-Time,Zone C,,IT/IS,General - Con,1970-01-29,KY,Male,10415,Hispanic,Married,Needs Improvement,4,,Active
3455,Charity,Miranda,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Full-Time,Zone C,Resignation,Sales,Project Management - Eng,1999-01-18,KY,Male,3763,Other,Widowed,Exceeds,4,2022.0,Inactive
3456,Axel,Howe,2023-03-06,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Full-Time,Zone A,,Sales,Field Operations,1946-09-25,KY,Female,79623,Black,Divorced,Fully Meets,3,,Active
3457,Milton,Wall,2020-09-25,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Full-Time,Zone B,,Sales,Engineers,1947-08-23,KY,Female,69189,White,Divorced,Needs Improvement,3,,Active
3458,Cory,Robinson,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Contract,Zone A,Voluntary,Sales,Field Operations,1996-08-12,TX,Female,5194,Hispanic,Single,Needs Improvement,3,2023.0,Inactive
3459,Saniya,Yu,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Part-Time,Zone A,Retirement,Sales,General - Con,1944-02-09,TX,Male,8779,Black,Widowed,Exceeds,2,2022.0,Inactive
3460,Alisa,James,2020-02-19,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Full-Time,Zone A,,Sales,Aerial,1944-02-10,TX,Male,74682,Asian,Married,Fully Meets,3,,Active
3461,Lincoln,Compton,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Full-Time,Zone C,Resignation,Sales,General - Con,1997-12-29,CO,Male,78046,Hispanic,Married,Needs Improvement,1,2021.0,Inactive
3462,Aliana,Nolan,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Contract,Zone A,Involuntary,Sales,Field Operations,1942-08-09,CO,Male,27270,Hispanic,Divorced,Needs Improvement,3,2021.0,Inactive
3463,Kayden,Dodson,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Part-Time,Zone A,Retirement,Sales,Field Operations,1951-06-21,IN,Male,12703,Hispanic,Single,Fully Meets,1,2021.0,Inactive
3464,James,Duke,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Contract,Zone B,Involuntary,Sales,Shop (Fleet),1998-06-17,MA,Male,66835,Black,Widowed,Needs Improvement,5,2022.0,Inactive
3465,Willow,Stuart,2021-11-08,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Full-Time,Zone B,,Sales,General - Con,1962-01-07,MA,Male,66150,Asian,Divorced,Needs Improvement,3,,Active
3466,Clayton,Walker,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Part-Time,Zone C,Retirement,IT/IS,Aerial,1979-01-26,KY,Male,64288,Other,Married,Exceeds,4,2023.0,Inactive
3467,Celia,Curtis,2020-05-06,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Contract,Zone A,,Sales,Fielders,1987-05-14,KY,Female,94333,Asian,Divorced,Exceeds,1,,Active
3468,Valentin,Reilly,2019-09-09,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Contract,Zone B,,Sales,Wireline Construction,1998-04-26,KY,Female,45453,Black,Single,Fully Meets,4,,Active
3469,Ryland,Shepherd,2020-07-29,2023-01-05,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Contract,Zone B,Resignation,Sales,Field Operations,1945-02-21,TX,Female,81905,Asian,Divorced,Needs Improvement,3,2023.0,Inactive
3470,Esteban,Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Contract,Zone C,Retirement,Sales,Field Operations,1997-05-31,TX,Female,12491,Black,Married,Needs Improvement,3,2019.0,Inactive
3471,Jonathan,Adkins,2020-02-29,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Part-Time,Zone C,,Sales,Field Operations,1967-01-03,TX,Male,64350,Asian,Married,Fully Meets,4,,Active
3472,Nevaeh,Soto,2023-01-15,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Contract,Zone C,,Sales,Project Management - Con,1982-01-12,TX,Male,74124,Other,Married,Exceeds,4,,Active
3473,Chaim,Mata,2023-06-29,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Part-Time,Zone A,,Sales,Shop (Fleet),1950-10-01,CO,Male,33379,Hispanic,Widowed,Exceeds,2,,Active
3474,Arely,Patton,2020-03-09,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Full-Time,Zone A,,Sales,Catv,1965-12-16,CO,Male,34481,Other,Divorced,Fully Meets,2,,Active
3475,Vance,Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Full-Time,Zone C,Resignation,Sales,General - Con,1957-12-25,IN,Male,90406,Asian,Widowed,Fully Meets,2,2023.0,Inactive
3476,Charlie,Koch,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Part-Time,Zone A,Voluntary,Sales,Fielders,1945-06-20,MA,Male,95774,Asian,Divorced,Needs Improvement,2,2023.0,Inactive
3477,Sonny,Horne,2019-04-07,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Part-Time,Zone A,,IT/IS,Aerial,1969-12-03,KY,Female,16058,Asian,Widowed,Needs Improvement,2,,Active
3478,Thomas,Chandler,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Full-Time,Zone C,Resignation,Sales,Wireline Construction,1957-10-10,KY,Female,45149,Hispanic,Married,Fully Meets,2,2019.0,Inactive
3479,Sarai,Stone,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Contract,Zone A,Involuntary,Sales,Project Management - Con,1962-05-17,TX,Female,96336,Hispanic,Widowed,Fully Meets,2,2023.0,Inactive
3480,Jerimiah,Harmon,2022-09-08,2022-10-16,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Full-Time,Zone C,Retirement,Sales,Catv,1946-08-09,TX,Female,75671,Black,Widowed,Fully Meets,1,2022.0,Inactive
3481,Leland,Allen,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Full-Time,Zone C,Voluntary,Sales,Wireline Construction,1965-12-11,TX,Male,61149,Other,Widowed,Fully Meets,4,2021.0,Inactive
3482,Cristal,Bolton,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Full-Time,Zone A,Resignation,Sales,Catv,1990-02-11,TX,Male,57302,Asian,Divorced,Needs Improvement,2,2021.0,Inactive
3483,Jaslene,Harding,2021-09-26,,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Part-Time,Zone B,,Sales,Project Management - Con,1964-06-19,CO,Male,42605,Asian,Widowed,Fully Meets,1,,Active
3484,Albert,Gonzalez,2018-08-29,,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Part-Time,Zone B,,Sales,General - Con,1995-07-18,CO,Male,64036,Other,Single,Fully Meets,4,,Active
3485,Jaiden,Johnson,2021-10-26,,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Contract,Zone C,,Sales,Field Operations,1994-08-22,CO,Male,23173,White,Widowed,Fully Meets,5,,Active
3486,Brendon,Mcconnell,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Part-Time,Zone C,Involuntary,Sales,Fielders,1990-11-14,IN,Male,19665,Other,Widowed,Fully Meets,4,2023.0,Inactive
3487,Kimora,Parsons,2023-03-15,,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Contract,Zone B,,Sales,General - Sga,1994-02-01,KY,Female,41161,Other,Divorced,Fully Meets,4,,Active
3488,Willie,Patterson,2022-09-09,,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Contract,Zone B,,Sales,Wireline Construction,1997-11-12,KY,Female,52499,Asian,Single,Fully Meets,2,,Active
3489,Devyn,Powers,2022-03-04,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Part-Time,Zone A,,Sales,Field Operations,1953-05-02,TX,Female,25634,Black,Divorced,Fully Meets,2,,Active
3490,Weston,Preston,2019-02-11,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Part-Time,Zone A,,Sales,General - Sga,1991-07-10,TX,Female,37965,Hispanic,Divorced,Fully Meets,2,,Active
3491,Lennon,Buchanan,2021-01-26,,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Contract,Zone B,,Sales,Field Operations,1973-06-02,TX,Male,39504,White,Widowed,Fully Meets,5,,Active
3492,Vicente,Merritt,2019-11-26,,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Full-Time,Zone C,,Sales,General - Con,1993-01-08,CO,Male,31676,Asian,Married,Fully Meets,1,,Active
3493,Hugo,Clay,2019-07-15,,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Full-Time,Zone C,,Sales,Project Management - Con,1984-04-17,CO,Male,28784,Asian,Widowed,Fully Meets,5,,Active
3494,Cohen,Raymond,2020-06-18,,Area Sales Manager,Jacob Snyder,cohen.raymond@bilearner.com,SVG,Contract,Zone B,,Sales,General - Con,1994-02-08,CO,Male,90983,Black,Single,Fully Meets,4,,Active
3495,Tia,Ellis,2023-06-22,2023-07-22,Area Sales Manager,Daniel Cabrera,tia.ellis@bilearner.com,TNS,Part-Time,Zone B,Retirement,Sales,Wireline Construction,1993-01-27,IN,Male,1115,Other,Married,Fully Meets,4,2023.0,Inactive
3496,Aspen,Bentley,2021-12-02,,Area Sales Manager,Barbara Garcia,aspen.bentley@bilearner.com,WBL,Contract,Zone A,,Sales,General - Sga,1964-09-19,CA,Male,72233,Other,Widowed,Fully Meets,5,,Active
3497,Graham,Rodriguez,2021-12-08,,Area Sales Manager,Kendra Murray,graham.rodriguez@bilearner.com,TNS,Part-Time,Zone C,,Sales,Project Management - Con,1981-02-18,OR,Female,58210,Hispanic,Widowed,Fully Meets,1,,Active
3498,Joel,Mcmillan,2023-04-26,2023-06-22,Area Sales Manager,Peter Harvey,joel.mcmillan@bilearner.com,PYZ,Full-Time,Zone A,Voluntary,Sales,General - Sga,1998-10-17,KY,Female,36087,White,Widowed,Fully Meets,2,2023.0,Inactive
3499,Maci,Frost,2018-09-25,2021-12-20,Area Sales Manager,Patrick Daniel,maci.frost@bilearner.com,WBL,Part-Time,Zone C,Involuntary,Sales,Field Operations,1971-01-16,KY,Female,61457,Asian,Widowed,Fully Meets,5,2021.0,Inactive
3500,Nevaeh,Lucas,2018-11-20,2020-06-21,Area Sales Manager,Bryan Douglas,nevaeh.lucas@bilearner.com,NEL,Full-Time,Zone B,Voluntary,Sales,Shop (Fleet),2000-02-25,TX,Female,80424,White,Divorced,Fully Meets,1,2020.0,Inactive
3501,Garrett,Zimmerman,2020-08-30,2022-08-30,Area Sales Manager,Destiny Hopkins,garrett.zimmerman@bilearner.com,PL,Part-Time,Zone A,Retirement,Sales,General - Con,1959-04-19,TX,Male,6240,Other,Widowed,Fully Meets,4,2022.0,Inactive
3502,Eugene,Marks,2019-10-01,,Area Sales Manager,Angela Morris,eugene.marks@bilearner.com,BPC,Full-Time,Zone C,,Sales,Splicing,1976-06-29,TX,Male,49914,White,Married,Fully Meets,1,,Active
3503,Geovanni,Pugh,2022-01-20,,Area Sales Manager,Erica Franklin,geovanni.pugh@bilearner.com,CCDR,Part-Time,Zone A,,Sales,Project Management - Con,1951-07-27,CO,Male,71319,Other,Single,Fully Meets,4,,Active
3504,Javon,Kelley,2021-10-10,,Area Sales Manager,Gabriela Orr,javon.kelley@bilearner.com,SVG,Full-Time,Zone B,,Sales,General - Con,1980-08-23,CO,Male,27992,Hispanic,Married,Fully Meets,2,,Active
3505,Amaya,Hicks,2020-08-29,,Area Sales Manager,Michael Wilkins,amaya.hicks@bilearner.com,EW,Contract,Zone B,,Sales,Field Operations,1943-07-24,IN,Male,72324,Hispanic,Widowed,Fully Meets,1,,Active
3506,Laila,Woodard,2019-08-27,2023-05-10,Area Sales Manager,Jordan Vega,laila.woodard@bilearner.com,MSC,Full-Time,Zone B,Voluntary,Sales,Field Operations,1988-07-06,IN,Male,38740,Other,Married,Fully Meets,2,2023.0,Inactive
3507,Ivan,Huff,2021-02-25,2023-04-07,Area Sales Manager,John Miller,ivan.huff@bilearner.com,TNS,Full-Time,Zone A,Retirement,Sales,Project Management - Con,1973-03-24,CA,Male,9437,White,Single,Fully Meets,4,2023.0,Inactive
3508,Aidan,Harding,2021-07-13,,Area Sales Manager,Trevor Adkins,aidan.harding@bilearner.com,CCDR,Full-Time,Zone B,,Sales,Aerial,1942-05-26,OR,Male,9385,Asian,Single,Fully Meets,5,,Active
3509,Cruz,Boyer,2021-04-14,,Area Sales Manager,Marcus Hunt,cruz.boyer@bilearner.com,BPC,Part-Time,Zone C,,Sales,General - Sga,1977-11-04,KY,Female,75993,Black,Married,Fully Meets,2,,Active
3510,Raven,Koch,2020-02-10,,Area Sales Manager,Jennifer King,raven.koch@bilearner.com,PYZ,Part-Time,Zone A,,Sales,General - Con,1956-10-17,KY,Female,65329,Hispanic,Married,Fully Meets,2,,Active
3511,Karli,Barker,2021-08-17,2021-12-31,Area Sales Manager,Shawn Dudley,karli.barker@bilearner.com,WBL,Part-Time,Zone B,Resignation,Sales,Finance & Accounting,1997-02-18,KY,Female,41111,Asian,Divorced,Fully Meets,4,2021.0,Inactive
3512,Tyrone,Sosa,2023-04-17,2023-06-22,Area Sales Manager,Lindsay Chang,tyrone.sosa@bilearner.com,NEL,Contract,Zone C,Voluntary,Sales,Yard (Material Handling),1996-10-25,TX,Female,58860,Black,Single,Fully Meets,2,2023.0,Inactive
3513,Damaris,Cisneros,2022-09-02,2023-05-24,Area Sales Manager,Sharon Ruiz,damaris.cisneros@bilearner.com,PL,Contract,Zone C,Involuntary,Sales,General - Con,1959-11-13,TX,Male,93051,Other,Married,Fully Meets,5,2023.0,Inactive
3514,Alexus,Estes,2020-04-15,,Area Sales Manager,April Randolph,alexus.estes@bilearner.com,BPC,Full-Time,Zone B,,Sales,Wireline Construction,1958-01-03,TX,Male,17419,Asian,Married,Fully Meets,1,,Active
3515,Kinsley,Flowers,2022-03-09,2022-12-10,Area Sales Manager,Mary Reilly,kinsley.flowers@bilearner.com,CCDR,Part-Time,Zone A,Retirement,Sales,Finance & Accounting,1997-04-29,CO,Male,59593,White,Single,Fully Meets,4,2022.0,Inactive
3516,Deborah,Love,2022-04-07,2023-01-22,Area Sales Manager,Eric Goodman,deborah.love@bilearner.com,SVG,Contract,Zone B,Retirement,Sales,Project Management - Con,1988-06-25,CO,Male,96350,Asian,Divorced,Fully Meets,5,2023.0,Inactive
3517,Milagros,Francis,2020-02-19,,Area Sales Manager,Caleb Schneider,milagros.francis@bilearner.com,EW,Part-Time,Zone A,,Sales,Splicing,1942-01-04,IN,Male,44469,Hispanic,Widowed,Fully Meets,4,,Active
3518,Roberto,Michael,2021-04-10,2022-07-04,Area Sales Manager,Cheryl Henry,roberto.michael@bilearner.com,MSC,Contract,Zone B,Involuntary,Sales,General - Eng,1969-05-24,CA,Female,13249,Hispanic,Married,Fully Meets,2,2022.0,Inactive
3519,Elaine,Ewing,2021-12-19,2022-03-02,Area Sales Manager,Dan Hernandez,elaine.ewing@bilearner.com,TNS,Part-Time,Zone C,Resignation,Sales,Aerial,1951-03-28,CA,Male,17123,Hispanic,Widowed,Fully Meets,2,2022.0,Inactive
3520,Caiden,Munoz,2020-12-13,2023-01-13,Area Sales Manager,Teresa Daniel,caiden.munoz@bilearner.com,TNS,Full-Time,Zone C,Involuntary,Sales,Project Management - Con,1963-03-01,ND,Female,18983,Black,Divorced,Fully Meets,1,2023.0,Inactive
3521,Jocelyn,Bradford,2019-02-26,,Area Sales Manager,Melissa Decker,jocelyn.bradford@bilearner.com,WBL,Contract,Zone C,,Sales,General - Con,1949-04-16,KY,Female,51795,Asian,Divorced,Fully Meets,4,,Active
3522,Marques,Armstrong,2020-03-02,,Area Sales Manager,Michael Nguyen,marques.armstrong@bilearner.com,BPC,Full-Time,Zone C,,Sales,Splicing,1983-10-12,KY,Female,34369,Other,Single,Fully Meets,1,,Active
3523,Rohan,Chapman,2021-06-25,2022-08-25,Area Sales Manager,Tony Mcconnell,rohan.chapman@bilearner.com,CCDR,Full-Time,Zone A,Resignation,Sales,General - Con,1978-12-19,KY,Female,23092,Other,Single,Fully Meets,2,2022.0,Inactive
3524,Emmanuel,Franklin,2021-07-26,2022-05-04,Area Sales Manager,Adam Gibson,emmanuel.franklin@bilearner.com,EW,Contract,Zone B,Resignation,Sales,Field Operations,1999-11-11,TX,Male,6074,Asian,Divorced,Fully Meets,2,2022.0,Inactive
3525,Clayton,Mccormick,2022-07-03,2023-01-10,Area Sales Manager,Stephanie Duke,clayton.mccormick@bilearner.com,MSC,Contract,Zone B,Retirement,Sales,General - Con,1967-01-29,TX,Male,72264,Hispanic,Single,Fully Meets,2,2023.0,Inactive
3526,Darius,Krause,2022-09-15,,Area Sales Manager,Paige Flores MD,darius.krause@bilearner.com,NEL,Full-Time,Zone B,,Sales,General - Con,1948-05-30,TX,Male,28282,White,Widowed,Fully Meets,4,,Active
3527,Ahmed,Hawkins,2020-05-01,2021-02-25,Area Sales Manager,Hannah Snyder,ahmed.hawkins@bilearner.com,PL,Full-Time,Zone B,Retirement,Sales,Aerial,1974-10-15,CO,Male,46645,Black,Married,Fully Meets,1,2021.0,Inactive
3528,Kymani,Benjamin,2022-10-13,,Area Sales Manager,William Ayala,kymani.benjamin@bilearner.com,PYZ,Full-Time,Zone C,,Sales,Finance & Accounting,1991-12-13,CO,Male,10790,Hispanic,Widowed,Fully Meets,2,,Active
3529,Callum,Mcdaniel,2020-01-03,2020-08-24,Area Sales Manager,Samuel Moore,callum.mcdaniel@bilearner.com,SVG,Part-Time,Zone C,Voluntary,Sales,Field Operations,1994-06-18,IN,Male,67282,Hispanic,Single,Fully Meets,2,2020.0,Inactive
3530,Zariah,Black,2019-11-13,,Area Sales Manager,Jenna Weaver,zariah.black@bilearner.com,TNS,Full-Time,Zone B,,Sales,Field Operations,1993-06-16,CA,Female,62321,Black,Widowed,Fully Meets,2,,Active
3531,Ronnie,Mayer,2023-06-17,,Area Sales Manager,Dylan Blake,ronnie.mayer@bilearner.com,WBL,Full-Time,Zone C,,Sales,Project Management - Con,1943-05-18,CA,Male,18409,Black,Divorced,Fully Meets,1,,Active
3532,Marlon,Ford,2021-10-14,,Area Sales Manager,Monique Anderson,marlon.ford@bilearner.com,EW,Part-Time,Zone B,,IT/IS,Wireless,1966-11-27,OR,Female,40306,Black,Widowed,Fully Meets,1,,Active
3533,Slade,Griffith,2021-06-01,2023-07-16,Area Sales Manager,Kelsey Gibson,slade.griffith@bilearner.com,MSC,Contract,Zone B,Voluntary,Sales,General - Sga,1966-11-12,ND,Male,65183,White,Married,Fully Meets,2,2023.0,Inactive
3534,Lee,Frye,2018-09-14,,Area Sales Manager,Sonia Diaz,lee.frye@bilearner.com,TNS,Full-Time,Zone A,,Sales,Engineers,1959-08-16,KY,Female,97002,Asian,Single,Fully Meets,4,,Active
3535,Veronica,Rowe,2018-12-11,2022-06-02,Area Sales Manager,Brian Morton,veronica.rowe@bilearner.com,PYZ,Full-Time,Zone A,Retirement,Sales,Fielders,1994-02-02,KY,Female,29811,Black,Single,Fully Meets,4,2022.0,Inactive
3536,Aylin,Berg,2022-08-06,,Area Sales Manager,Thomas Holmes,aylin.berg@bilearner.com,WBL,Contract,Zone C,,Sales,General - Sga,1989-01-02,GA,Female,89169,Black,Single,Fully Meets,2,,Active
3537,Neveah,Rowe,2022-05-28,2023-02-24,Area Sales Manager,Dawn Perez,neveah.rowe@bilearner.com,NEL,Contract,Zone C,Retirement,Sales,Field Operations,1954-07-11,TX,Male,63882,Hispanic,Married,Fully Meets,2,2023.0,Inactive
